turn_id;speaker;utterance;dialogue_act
6; USER ; How about a college?;Attraction-Inform
7; SYSTEM ; There are a great number of colleges in the centre. Can I recommend Trinity College, on Trinity St? Entrance is only 1 GBP.;Attraction-Inform
8; USER ; Great can I get the postcode of it?;Attraction-Request
9; SYSTEM ; The postcode for that is cb21tq.;Attraction-Inform
10; USER ; And what is the address?;Attraction-Request
11; SYSTEM ; The address of the college is Trinity Street. May I help you with anything else?;Attraction-Inform
12; USER ; No, that's all. Thank you;general-thank
13; SYSTEM ; Thank you for using Cambridge TownInfo centre, and have a great day!;general-bye
0; USER ; Are there any expensive British restaurants?;Restaurant-Inform
1; SYSTEM ; Of course! We have a variety of them in the east, west, and centre. What area would you prefer?;Restaurant-Inform
2; USER ; I'd like for it to be in the West please.;Restaurant-Inform
3; SYSTEM ; I have two, Graffiti and Travelers Rest, shall I go ahead and try to book?;Booking-Inform
4; USER ; I am not quite ready to book a table, however I would like the phone number and address of each restaurant including the postcode.;Restaurant-Request
5; SYSTEM ; Graffiti is located at Hotel Felix Whitehouse Lane Huntingdon Road, 01223277977, cb30lx. Travellers Rest is located at Huntingdon Road City Centre, 01223276182, cb30df. Can I help you more?;Restaurant-Inform
6; USER ; I'm looking for a train that leaves on Sunday and arrive by 12:00.;Train-Inform
7; SYSTEM ; Where will you be departing and arriving from?;Train-Request
8; USER ; I will be departing from Cambridge and traveling to Stevenage.;Train-Inform
9; SYSTEM ; I have train TR5390 leaving cambridge at 5:21 and arriving at 6:10 on sunday. Would you like to book this?;Train-Inform
10; USER ; Yes please! I think that is all I need, thank you.;general-thank
11; SYSTEM ; Okay, if you'd like a booking, I'll need to know how many tickets you need. Or, if we're done here, have a very nice day.;Train-Request
12; USER ; Yes, that is all. Thanks again.;general-thank
13; SYSTEM ; You're welcome. If you need any help in the future I'll be here.;general-bye
0; USER ; Are there any good vegetarian restaurants in the centre?;Restaurant-Inform
1; SYSTEM ; im sorry, there are no vegetarian restaurants in the center;Restaurant-NoOffer
2; USER ; Are there any other expensive restaurants in the same area?;Restaurant-Inform
3; SYSTEM ; No, I'm sorry. Would you like to try a different area or price range?;Restaurant-Request
4; USER ; No it has to be expensive. Are there any mediterranean places in the centre?;Restaurant-Inform
5; SYSTEM ; There are two expensive mediterranean restaurants in the centre. Would you like to book at la mimosa?;Booking-Inform
6; USER ; Yes. I'd like to book a table for 7 at 12:15 on Saturday at la mimosa please.;Restaurant-Inform
7; SYSTEM ; It looks like there are no reservations available at that time. The other expensive Mediterranean restaurant is also unavailable. Would you like to look for a different time?;Booking-NoBook
8; USER ; Yes, please see what's available at 11:15.;Restaurant-Inform
9; SYSTEM ; I have confirmed a reservation for your party of 7 at 11:15 Saturday at La Mimosa. The reference number is 596WW4BN . Can I help you with anything else?;Booking-Book
10; USER ; I am looking for a train that departs from london liverpool street to cambridge.;Train-Inform
11; SYSTEM ; What day and time are you looking to travel?;Train-Request
12; USER ; The train is for Saturday and should arrive by 08:00.;Train-Inform
13; SYSTEM ; TR7397 is a train that fits your requirements.;Train-Inform
14; USER ; Can I get the train ID please?;Train-Request
15; SYSTEM ; The train ID is TR7397, would you like to book it?;Train-Inform
16; USER ; No, thank you. I will go ahead and book at a later time. This was all the info I needed. Thank you so much.;general-thank
17; SYSTEM ; We're glad to be of service. Thank you for using Cambridge TownInfo centre, and have a wonderful day.;general-bye
0; USER ; Hi, I'm looking for a train that will be leaving after 19:30 that goes to Kings Lynn.;Train-Inform
1; SYSTEM ; Where are you departing from?;Train-Request
2; USER ; I'll be leaving from Cambridge on Friday.;Train-Inform
3; SYSTEM ; I have four available trains that day? Is there a certain time that you would like to arrive by to your destination?;Train-Inform
4; USER ; I need to arrive by 18:00 and I am going to ely.;Train-Inform
5; SYSTEM ; The closest I have to your arrival time is 16:07. Would you like to book it?;Train-Inform
6; USER ; Yes, please, can you book me for 2 people, and I need th ereference number.;Train-Inform
7; SYSTEM ; You are all set! Your train's reference number is: KGRZSK8S . A total of 8.8 GBP is payable at the station. Can I help you further?;Train-OfferBooked
8; USER ; Yes i am looking to go to a sporting events up north. Do you have any suggestions?;Attraction-Inform
9; SYSTEM ; I don't have anything meeting that criteria. Can I try something else?;Attraction-NoOffer
10; USER ; Okay then can we search for a park in the north instead then?;Attraction-Inform
11; SYSTEM ; I have located milton country park at milton country park milton.;Attraction-Inform
12; USER ; Sounds great, thanks! Is there an entrance fee? If so, what is it?;Attraction-Request
13; SYSTEM ; No, it's free. Is there anything else you need?;Attraction-Inform
14; USER ; I think that's it for today! Thank you very much, good bye.;general-bye
15; SYSTEM ; Thank you for contacting us and have a nice day.;general-bye
0; USER ; Hi, I'm looking for a place to stay that has free wifi and free parking.;Hotel-Inform
1; SYSTEM ; Do you have a preference for area or price range?;Hotel-Request
2; USER ; I do not have a preference but I do want a hotel not a guest house.;Hotel-Inform
3; SYSTEM ; There are 8 such hotels. I recommend gonville hotel. Would you like me to book you a room?;Booking-Inform
4; USER ; Sure. That would be great.;Hotel-Inform
5; SYSTEM ; How many people will be in your party and how long would you like to stay?;Booking-Request
6; USER ; There are 3 of us and we'll be arriving on Saturday.;Hotel-Inform
7; SYSTEM ; And for how many days?;Booking-Request
8; USER ; It will be for two nights.;Hotel-Inform
9; SYSTEM ; I'm sorry but there is no availability for 2 nights starting on Saturday. Is there another day that works for you? Perhaps a different hotel?;Booking-NoBook
10; USER ; Can you try for just 1 night then?;Hotel-Inform
11; SYSTEM ; Sure, you're booked for one night. The reference number is AJUGHITG . May I help with anything else?;Booking-Book
12; USER ; No. That'll be all, thanks. Bye!;general-bye
13; SYSTEM ; You're welcome. Thanks for contacting the Cambridge TownInfo Centre and have a great day!;general-bye
0; USER ; I'm hoping you can help me find an expensive hotel on the North end;Hotel-Inform
1; SYSTEM ; There are no results. Is there another area we can search or a different price range?;Hotel-NoOffer
2; USER ; I am looking specifically for a guesthouse in the expensive price range in the north. Can you look again please?;Hotel-Inform
3; SYSTEM ; I'm sorry, there are no hotels meeting your requirements.;Hotel-NoOffer
4; USER ; Perhaps you could check the moderate price range in the north area of town.;Hotel-Inform
5; SYSTEM ; acorn guest house is very nice.;Hotel-Recommend
6; USER ; Okay, great! I'll need it booked for Sunday, 5 nights, and 5 people, please?;Hotel-Inform
7; SYSTEM ; Your booking for the acorn guesthouse is successful. Your reference number is 5DR3NH3R . Can I help you with anything else?;Booking-Book
8; USER ; Yes, I'm also looking for a place to dine. I'd like for it to be in the north and serve modern American food.;Restaurant-Inform
9; SYSTEM ; We don't have any that match. Do you have any other location preferences?;Restaurant-NoOffer
10; USER ; Okay can you look out for any in still the same location with the Hotel that serves asian oriental food.;Restaurant-Inform
11; SYSTEM ; saigon city is asian oriental. Want to book?;Booking-Inform
12; USER ; No thank you. I just need the price range and postcode.;Restaurant-Request
13; SYSTEM ; Saigon city is in the expensive price range, and the postcode is cb41nl.;Restaurant-Inform
14; USER ; Thank you for all your help!;general-thank
15; SYSTEM ; Can I be of further assistance today?;general-reqmore
16; USER ; That's all, goodbye!;general-bye
17; SYSTEM ; Have a great day.;general-bye
0; USER ; I am planning a trip in Cambridge;Attraction-Inform
1; SYSTEM ; great, what can i help you with?;general-greet
2; USER ; i need info about a restaurant called galleria;Restaurant-Inform
3; SYSTEM ; the reestraunt serves eauropean food and is located in the centre ans its adress is 33 Bridge Street;Restaurant-Inform
4; USER ; Thank you. I'm also looking for a Sunday train.;Train-Inform
5; SYSTEM ; I can help you with that. Where will you be departing from?;Train-Request
6; USER ; I need to leave from Norwich and arrive in Cambridge by 11:30.;Train-Inform
7; SYSTEM ; TR0996 will arrive at 10:35, would that work for you?;Train-Inform
8; USER ; Sure. What is the price and departure time?;Train-Request
9; SYSTEM ; Departure time is 09:16 and cost is 14.08 pounds.;Train-Inform
10; USER ; Great. Thanks for being so helpful today. That is all I needed. Bye.;general-bye
11; SYSTEM ; You're welcome, have a nice day!;general-bye
12; USER ; You do the same. Good-bye.;general-bye
13; SYSTEM ; Thank you! Bye!;general-bye
0; USER ; Can you find a theater to go to in town?;Attraction-Inform
1; SYSTEM ; Sure, do you have an area of town you would like to visit?;Attraction-Request
2; USER ; No, I'm not concerned about that.;Attraction-Inform
3; SYSTEM ; Adc theatre is in the centre of town;Attraction-Inform
4; USER ; Okay, great. I'm also looking for a restaurant in the south. It should be expensive.;Restaurant-Inform
5; SYSTEM ; There are 5 locations. Do you have a food preference?;Restaurant-Inform
6; USER ; How about chinese food?;Restaurant-Inform
7; SYSTEM ; There are 2 options that meet your criteria. Personally, I would recommend the Peking Restaurant at 10 Homerton Street City Centre.;Restaurant-Inform
8; USER ; Perfect, would you be able to book that for me?;Restaurant-Inform
9; SYSTEM ; for how many people and time please?;Booking-Request
10; USER ; Actually, I will book it myself. May I please get Peking Restaurant's phone number and postcode?;Restaurant-Request
11; SYSTEM ; The phone number is 01223354755 and the post code is cb28nx.;Restaurant-Inform
12; USER ; Thanks. Could I get the address as well please?;Restaurant-Request
13; SYSTEM ; 10 Homerton Street City Centre. What else may I do?;Restaurant-Inform
14; USER ; That's all I need, thanks very much.;general-thank
15; SYSTEM ; You are welcome. Have a nice day. Goodbye.;general-bye
0; USER ; I'm looking for European restaurant in the centre.;Restaurant-Inform
1; SYSTEM ; I see there are several, can you make a recommendation?;Restaurant-Inform
2; USER ; I haven't tried any in that area before. What would you suggest?;Restaurant-Inform
3; SYSTEM ; I have the eraina that is expensive or the riverside brasserie which is in the moderate range.;Restaurant-Inform
4; USER ; Can I get the phone number and postcode for eraina, please?;Restaurant-Inform
5; SYSTEM ; Their phone number is 01223368786, and postcode is cb23rh.;Restaurant-Inform
6; USER ; I also need a cheap place to stay, with free wifi.;Hotel-Inform
7; SYSTEM ; I have about 10 different options. To help narrow it down, do you prefer a certain area of town to stay in?;Hotel-Inform
8; USER ; The same area as the restaurant and I prefer a guesthouse.;Hotel-Inform
9; SYSTEM ; There are 2 guesthouses that match your specifications. The Alexander Bed and Breakfast has 4 stars, and El Shaddai has 0. Would you like to book one of these?;Booking-Inform
10; USER ; I would like to book The Alexander Bed and Breakfast;Hotel-Inform
11; SYSTEM ; I can help you with that. How many people should I book it for? How many days will you be staying?;Booking-Request
12; USER ; It will be for six people for 4 nights starting on Monday.;Hotel-Inform
13; SYSTEM ; You booking if successful, the reference number is IHXZ0B9O, can I help with anything else?;Booking-Book
14; USER ; Yes I would like to book a taxi to commute between the two places.;Taxi-Inform
15; SYSTEM ; I can do that, what time would you like that done.;Taxi-Request
16; USER ; I would like to be picked up at the restaurant by 16:30.;Taxi-Inform
17; SYSTEM ; I have booked a taxi for you. It is a red volkswagen, contact number 07105298211, and it will pick you up at Riverside Brasserie at 16:30.;Taxi-Inform
18; USER ; Thank you very much!;general-thank
19; SYSTEM ; Can I help you with anything else today?;general-welcome
20; USER ; I'm sorry but I will be dining at the Eraina restaurant. Can you have the same taxi pick me up there instead?;Restaurant-Inform
21; SYSTEM ; My apologies! I've changed your taxi booking: picking up: Eraina and drop off: Alexander B and B, leaving at 16:30. Your car will be a white Honda, contact number 07834851292.;Taxi-Inform
22; USER ; Awesome. That's all I need thanks.;general-thank
23; SYSTEM ; Thank you and enjoy your visit. Goodbye.;general-bye
0; USER ; Are there any guesthouses in the east?;Hotel-Inform
1; SYSTEM ; There are six guesthouses in the east. Do you have a preference on price?;Hotel-Inform
2; USER ; It needs to be cheap.;Hotel-Inform
3; SYSTEM ; I have 3 options for you. All of them are 4 star rated and all offer free parking and free internet. Might I suggest the Leverton House.;Hotel-Inform
4; USER ; Can I have the address for Leverton House?;Hotel-Inform
5; SYSTEM ; that address is 732-734 newmarket road. would you like me to make you a reservation?;Booking-Inform
6; USER ; Do they have internet and free parking?;Hotel-Inform
7; SYSTEM ; Yes they have internet and free parking.;Hotel-Inform
8; USER ; That will work can you book that for me?;Hotel-Inform
9; SYSTEM ; Sure, what day will you be arriving?;Booking-Request
10; USER ; I'm sorry, I don't need a room right now. I just need their address.;Hotel-Request
11; SYSTEM ; The address for leverton house is 732-734 newmarket road in the east. The postcode is cb58rs and phone number is 01223292094.;Hotel-Inform
12; USER ; I'm also looking for a train. Arriving in Cambridge by 09:15.;Train-Inform
13; SYSTEM ; On what day will you be travelling? And where will you be travelling from?;Train-Request
14; USER ; I need to leave on Saturday from Ely.;Train-Inform
15; SYSTEM ; I have two trains available leaving at 05:35 and 07:35. What time would you like to leave.;Train-Inform
16; USER ; It doesn't matter. Just pick one and book it for 7 people.;Train-Inform
17; SYSTEM ; You re booked for the 5:35. Your booking number is D55LLNTR .;Train-Inform
18; USER ; Thank you. That is all that I need.;general-thank
19; SYSTEM ; Thank you for calling.;general-bye
0; USER ; Hello! I'd like to eat at an indian restaurant in the centre. Can you help?;Restaurant-Inform
1; SYSTEM ; I can. What price range are you looking for?;Restaurant-Request
2; USER ; any price range please, need it for monday.;Restaurant-Inform
3; SYSTEM ; Sure! how many people and what time?;Booking-Request
4; USER ; 1 person at 14:15.;Restaurant-Inform
5; SYSTEM ; I'm sorry, I haven't found any availability. Is there a different day or time you could change to??;Booking-NoBook
6; USER ; Could you try Monday at 13:15?;Restaurant-Inform
7; SYSTEM ; The Curry Garden has availability at that time. Would you like me to book it for you?;Booking-Inform
8; USER ; Yes please, and I am also looking for a train leaving cambridge on tuestday going to london kings cross arriving by 18:45.;Train-Inform
9; SYSTEM ; There are 7 trains that match your requests, is there a specific time you want to leave at?;Train-Inform
10; USER ; No specific time just as long as arrival is by 18:45. Please give me the price options.;Train-Inform
11; SYSTEM ; All of the trains arriving by that time cost 23.60 pounds.;Train-Inform
12; USER ; Thanks for your help!;general-thank
13; SYSTEM ; You're welcome. Don't forget your reference number for your dinner reservation: LJCE61JW . Have a nice day.;Booking-Book
0; USER ; I'm looking for an expensive place to eat in the centre.;Restaurant-Inform
1; SYSTEM ; There are a lot of great, expensive restaurant in the centre. What type of food would you prefer?;Restaurant-Inform
2; USER ; It doesn't matter to me which type of food they serve. What would you recommend for a person eating alone?;Restaurant-Inform
3; SYSTEM ; How about Midsummer House Restaurant, serving British food? It's at Midsummer Common. Would you like to book a table?;Booking-Inform
4; USER ; Yes please, can you book a table for 1 on Monday at 13:00?;Restaurant-Inform
5; SYSTEM ; You are booked! Your table will be reserved for fifteen minutes and your reference number is RKD8KQPM .;Booking-Book
6; USER ; Thanks! I also need a train to peterborough and I need it to arrive by 10am and arrive on tuesday to cambridge;Train-Inform
7; SYSTEM ; I am sorry, would you like to go to or from Cambridge?;Train-Request
8; USER ; I will be departing from Cambridge and traveling to Peterborough.;
9; SYSTEM ; Sure, I can book you on TR0162 arriving by 7:56. Will this be a reservation for 1 also?;Train-OfferBook
10; USER ; Yes, this will be for one person only. Thank you very much;Train-Inform
11; SYSTEM ; Yes your booking was successful and your reference number is P68PH2RR .;Train-OfferBooked
12; USER ; Okay thank you very much.;general-thank
13; SYSTEM ; Okay Glad I could help you.;general-welcome
0; USER ; My friends said that I must visit Corpus Christi, can you please give me some more information about it?;Attraction-Inform
1; SYSTEM ; I certainly can. Corpus Christi is a college located in the center of town, on King's Parade. There's a two pound entrance fee. Do you need any additional information?;Attraction-Inform
2; USER ; Yes. What is the postcode?;Attraction-Request
3; SYSTEM ; The postcode is cb21rh. Do you need anything else?;Attraction-Inform
4; USER ; Are there any African restaurants in the centre?;Restaurant-Inform
5; SYSTEM ; I have one listing for bedouin would that work for you?;Booking-Inform
6; USER ; Is this listing in the expensive price range?;Restaurant-Inform
7; SYSTEM ; Yes, it is in the expensive price range, shall I book you a table?;Booking-Inform
8; USER ; Please book a table for 4 at 15:30 on saturday.;Restaurant-Inform
9; SYSTEM ; Your reference number is 57KUDR6Y . Do you need anything else?;Booking-Inform
10; USER ; No, that's great, thanks!;general-thank
11; SYSTEM ; excellent, have a great day;general-bye
0; USER ; I am looking for a restaurant serving chinese food in the centre part of town.;Restaurant-Inform
1; SYSTEM ; There are several chinese restaurants in the centre area. What price range are you considering?;Restaurant-Inform
2; USER ; I am looking for something expensive.;Restaurant-Inform
3; SYSTEM ; How about hk fusion located at 21 Burleigh Street City Centre? Would you like me to book?;Booking-Inform
4; USER ; That sounds great! Yes, please! Book a table for 3 people at 15:45 on friday.;Restaurant-Inform
5; SYSTEM ; Booking was successful. The table will be reserved for 15 minutes. Reference number is : CDBQYMUI . Is there anything else I can help you with?;Booking-Book
6; USER ; That will be all. Thank you very much!;general-thank
7; SYSTEM ; You are welcome. Enjoy the meal. Bye.;general-bye
0; USER ; Please find a restaurant called Nusha.;Restaurant-Inform
1; SYSTEM ; I don't seem to be finding anything called Nusha. What type of food does the restaurant serve?;Restaurant-NoOffer
2; USER ; I am not sure of the type of food but could you please check again and see if you can find it? Thank you.;general-thank
3; SYSTEM ; Could you double check that you've spelled the name correctly? The closest I can find is Nandos.;Restaurant-Inform
4; USER ; It's not a restaurant, it's an attraction. Nusha.;Attraction-Inform
5; SYSTEM ; oh its okay. that is an entertainment type located in the south at unit g6, cambridge leisure park, clifton road. do you need their phone number?;Attraction-Inform
6; USER ; No, but please confirm their address again and their postcode.;Attraction-Request
7; SYSTEM ; Their address is Unit g6, Cambridge Leisure Park, Clifton road. The postcode is CB17DY. Is their anything else I can do for you?;Attraction-Inform
8; USER ; I want Indian food in the center area.;Restaurant-Inform
9; SYSTEM ; There are nine Indian restaurants in centre what price range do you want?;Restaurant-Inform
10; USER ; I am looking for expensive Indian food.;Restaurant-Inform
11; SYSTEM ; saffron brasserie is an expensive restaurant that serves italian food;Restaurant-Inform
12; USER ; Can I get the address for saffron brasserie?;Restaurant-Inform
13; SYSTEM ; the address is Hills Road City Centre;Restaurant-Inform
14; USER ; Can I clarify that it was Indian food and not Italian food please?;Restaurant-Request
15; SYSTEM ; Yes, saffron brasserie is Indian food.;Restaurant-Inform
16; USER ; Thank you that is all the information I need at the moment.;general-thank
17; SYSTEM ; i hope i have been of help;general-bye
18; USER ; You have. Thank you. Goodbye.;general-bye
19; SYSTEM ; I am glad to help. Enjoy your stay !;general-bye
0; USER ; What kind of attraction are there here?;Attraction-Inform
1; SYSTEM ; There are many attractions around cambridge depending on what you're looking for. Do you have a specific area of town in mind?;Attraction-Inform
2; USER ; Actually, I'm interested in a restaurant called Rice House.;Restaurant-Inform
3; SYSTEM ; Yes the Rice House is cheap and located in the center and their telephone number is 01223367755. They serve Chinese food.;Restaurant-Inform
4; USER ; Great. Can you reserve a table for 7 on Friday at 13:30?;Restaurant-Inform
5; SYSTEM ; Yes, I can take of that reservation for you.;Booking-Inform
6; USER ; Thank you. I'll need a reference number, please?;Restaurant-Request
7; SYSTEM ; Booking was successful. The table will be reserved for 15 minutes. Reference number is : OF78TYXX . anything else?;Booking-Book
8; USER ; I am looking for a place called the man on the moon, can you give me their phone number and postcode please;Attraction-Inform
9; SYSTEM ; Sure, their phone number is 01223474144, post code cb12lf;Attraction-Inform
10; USER ; Great, that will be all. Thank you!;general-thank
11; SYSTEM ; You are welcome, have a nice day.;general-bye
12; USER ; Thank you, you too.;general-thank
13; SYSTEM ; Do you need any info on travel etc?;general-reqmore
14; USER ; No thank you that will be all;general-thank
15; SYSTEM ; You're welcome, have a great day.;general-bye
0; USER ; Hi, I need to get in from King's Lynn to Cambridge;Train-Inform
1; SYSTEM ; There are 133 trains making that trip, do you have a day and time you want to travel?;Train-Inform
2; USER ; I'm looking to leave Friday after 21:15, if you could book me a reservation for that time period that would be great.;Train-Inform
3; SYSTEM ; TR0672 departs at 22:11. Can you tell me how many tickets you need?;Train-Inform
4; USER ; I need 2 please.;Train-Inform
5; SYSTEM ; Booking was successful, the total fee is 19.6 GBP payable at the station. Reference number is : 4J73XCBG . Is there anything else I can help with?;Train-OfferBooked
6; USER ; No thank you. That is all I need.;general-thank
7; SYSTEM ; Have a great day!;general-bye
0; USER ; I am looking for some where to go, in the centre of town.;Attraction-Inform
1; SYSTEM ; Do you have an idea of what type of attraction you would be interested in?;Attraction-Request
2; USER ; Yes, I would like to visit a park, please.;Attraction-Inform
3; SYSTEM ; The Cambridge University Botanic Gardens is located in the city centre. Would you like the address?;Attraction-Inform
4; USER ; Yes, that would be great. I will need a train also.;Train-Inform
5; SYSTEM ; The address is bateman street cb21jf. May I ask where you'll be traveling via the train?;Attraction-Inform
6; USER ; I need the train to go to Broxbourne.;Train-Inform
7; SYSTEM ; Ok, what day are you traveling?;Train-Request
8; USER ; I'm traveling on Saturday.;Train-Inform
9; SYSTEM ; I have several trains available for Saturday. What time would you like to leave Cambridge and arrive in Broxbourne?;Train-Inform
10; USER ; I would like to arrive in Broxbourne by 09:15 from Cambridge. I will need a departure time too, please.;Train-Inform
11; SYSTEM ; TR7807 will leave Cambridge at 8:01 and arrive in Broxbourne at 9:01. If that works for you, I can go ahead and get you a ticket.;Train-Inform
12; USER ; No thank you I can book the train myself.;Train-Inform
13; SYSTEM ; Very good. Is there anything else I can help you with today?;general-reqmore
14; USER ; No, that's it. You've been great, thanks. Bye!;general-bye
15; SYSTEM ; Thank you very much for contacting us, feel free to message us again if you need help!;general-bye
0; USER ; I am looking for places to go, do you have any attractions in the west part of town?;Attraction-Inform
1; SYSTEM ; I have several museums and a few colleges to choose from. Which would you prefer?;Attraction-Inform
2; USER ; I think I would prefer a museum.;Attraction-Inform
3; SYSTEM ; The Museum of Classical Archaeology would be a fun place to check out, would you be interested?;Attraction-Recommend
4; USER ; Sure, give me their phone number. I'd also like to find an expensive restaurant in West Cambridge.;Attraction-Request
5; SYSTEM ; Here's the number for the Museum of Classical Archaeology, 01223335153. How does the Cambridge Lodge Restaurant sound for you?;Attraction-Inform
6; USER ; That sounds good. Could you reserve a table for 3 on Friday at 19:00? Can I get a reference number? Thank you!;Restaurant-Inform
7; SYSTEM ; It's all booked reference number is 8L9SAXV0;Booking-Book
8; USER ; I also want to book a taxi to go from the museum to the restaurant.;Restaurant-Inform
9; SYSTEM ; When would you like to arrive by?;Taxi-Request
10; USER ; I would like for the taxi arrive by 19:00 please. Can you give me a contact number and the car type for the taxi as well?;Taxi-Inform
11; SYSTEM ; Yes, the taxi will be a red BMW and the contact number is 07530062984;Taxi-Inform
12; USER ; Thank you, that's all I need today.;general-thank
13; SYSTEM ; You're welcome! Goodbye!;general-bye
0; USER ; I would like to find in Cambridge, a restaurant, located in the Centre area. I love spanish food.;Restaurant-Inform
1; SYSTEM ; I have La Tasca downtown here at 14 - 16 Bridge street.;Restaurant-Inform
2; USER ; The restaurant should be in the expensive price range;Restaurant-Inform
3; SYSTEM ; I do not have any in the centre, another criteria perhaps?;Restaurant-NoOffer
4; USER ; How about african food?;Restaurant-Inform
5; SYSTEM ; I was able to find bedouin, would you like to try that?;Restaurant-Inform
6; USER ; That would be great, could you just give me their number?;Restaurant-Request
7; SYSTEM ; The number is 01223367660. Is there anything else I can help you with?;Restaurant-Inform
8; USER ; I also want to find an expensive place to stay with a star rating of 3 please.;Hotel-Inform
9; SYSTEM ; With that criteria, I have two different options for you. Both are hotels and offer free parking and wifi. One is in the centre of town and one is south.;Hotel-Inform
10; USER ; I want one that is in the same area as Bedouin, please.;Hotel-Inform
11; SYSTEM ; The gonville hotel is in the centre which is the same area as Bedouin. Would you like me to book it for you?;Booking-Inform
12; USER ; Yes, please book that for 8 people starting Friday for 3 nights.;Hotel-Inform
13; SYSTEM ; I am sorry that is not available. Would you like to try another day or a shorter stay perhaps?;Booking-NoBook
14; USER ; Yes, please try again for only 2 nights and see if that works.;Hotel-Inform
15; SYSTEM ; All set for 2 nights at the Gonville. Your reference number is 1KWO1IPE .;Booking-Book
16; USER ; Thank you, that's all I need today!;general-thank
17; SYSTEM ; Excellent, glad Cambridge TownInfo centre could be of help. Have a great day!;general-bye
0; USER ; I'd like to find out if there are any cheap portuguese places to eat in Cambridge.;Restaurant-Inform
1; SYSTEM ; Yes, I have Nandos located in the South and Nandos City Centre located in the Centre. Will one of these work for you?;Restaurant-Inform
2; USER ; Yes, I will make a reservation at Nandos in the south part of the city for five people on Thursday.;Restaurant-Inform
3; SYSTEM ; I can certainly help you with that. What time would you like the reservation?;Booking-Request
4; USER ; I would like the reservation to be at 14:45.;Restaurant-Inform
5; SYSTEM ; Your reservation reference number is : SMH06MS1 . The table will be held for 15 minutes from the time of your reservation. May I assist you with anything else?;Booking-Book
6; USER ; I need a place to stay as well. I need free parking.;Hotel-Inform
7; SYSTEM ; I have over 20 different options for you, was there a certain area or price range you would like me to find for you?;Hotel-Inform
8; USER ; Lets see what is available cheap, same area as the restaurant makes most sense but i am open to any area.;Hotel-Inform
9; SYSTEM ; I have one place in the cheap range, in the south area. Would you like me to go on with booking?;Booking-Inform
10; USER ; What kind of food is it?;Restaurant-Request
11; SYSTEM ; They serve portuguese. Need a reservation?;Booking-Inform
12; USER ; Sorry I have the restaurant. I am looking for a cheap, four star hotel with free parking and internet.;Hotel-Inform
13; SYSTEM ; Rosa's Bed and Breakfast meets your criteria. Would you like to book a room?;Booking-Inform
14; USER ; Do they have internet?;Hotel-Request
15; SYSTEM ; Yes, they do have internet. Would you like to make a reservation?;Booking-Inform
16; USER ; No, could you just give me the area that is in and postcode please?;Hotel-Request
17; SYSTEM ; Sure! It's in the South part of town, and the postcode is CB22HA. Can I help you with anything else?;Hotel-Inform
18; USER ; No thank you that will be all;general-thank
19; SYSTEM ; Enjoy your stay in Cambridge. Have a nice day, bye.;general-bye
0; USER ; I need to take a train out of cambridge after 19:00 please.;Train-Inform
1; SYSTEM ; how about the TR1006 , it leaves at 19:00.;Train-Inform
2; USER ; I need to travel on tuesday to london kings cross.;Train-Inform
3; SYSTEM ; TR4125 leaves cambridge for london kings cross on tuesday at 19:00. Would you like me to book it for you?;Train-Inform
4; USER ; Yes please for 6 people.;Train-Inform
5; SYSTEM ; The booking was successful. Your reference number is EZNVJAPG . The cost is 141.6 pounds. Do you need anything else?;Train-OfferBooked
6; USER ; Yes, I'm looking for a restaurant. I believe it's called Curry Prince.;Restaurant-Inform
7; SYSTEM ; I have found the restaurant;Booking-Inform
8; USER ; Yes, I would like it the same day at 14:00. I would also like the reference number from the train and restaurant please.;Restaurant-Inform
9; SYSTEM ; confirm # for the train is EZNVJAPG . How many for the reservation please?;Booking-Request
10; USER ; The restaurant is for six as well.;Restaurant-Inform
11; SYSTEM ; Your reservation for 6 people at the curry prince for tuesday at 14:00 was successful. The table will be reserved for 15 minutes. Reference number is : ZDGUJIVY .;Booking-Book
12; USER ; Ok thank you! That is all I need.;general-thank
13; SYSTEM ; Is there anything else that you would like?;general-reqmore
14; USER ; No,that's all. Thank you;general-thank
15; SYSTEM ; Thank you for using our services. Have a wonderful day!;general-bye
0; USER ; I want to find a moderately priced restaurant.;Restaurant-Inform
1; SYSTEM ; I have many options available for you! Is there a certain area or cuisine that interests you?;Restaurant-Inform
2; USER ; Yes I would like the restaurant to be located in the center of the attractions.;Attraction-Inform
3; SYSTEM ; There are 21 restaurants available in the centre of town. How about a specific type of cuisine?;Restaurant-Inform
4; USER ; i need to know the food type and postcode and it should also have mutliple sports;Attraction-Request
5; SYSTEM ; I am sorry I do not understand what you just said. Please repeat in a way that makes sense.;general-reqmore
6; USER ; get me the food type and the post code;Attraction-Request
7; SYSTEM ; My favorite it The Copper Kettle at 4 Kings Parade City Centre CB21SJ. It serves British food. Does that interest you?;Restaurant-Inform
8; USER ; Absolutely! Thank you! I also need information on the attractions that have multiple sports in town, in the same area as the restaurant please.;Attraction-Inform
9; SYSTEM ; The only multiple sports attraction is located in the east of town. Would you like more information?;Attraction-Inform
10; USER ; No, I want to be in the centre of town. What about architecture attractions?;Attraction-Inform
11; SYSTEM ; All Saints Church is an architectural attraction. It is in the Centre of town and entrance is free!;Attraction-Inform
12; USER ; Can I get their phone number and address please?;Attraction-Request
13; SYSTEM ; Their phone number is 01223452587. Is there anything else I can assist you with?;Attraction-Inform
